iter	Logloss
0	0.3050791178
1	0.2368497743
2	0.1995385055
3	0.1896039686
4	0.1843671527
5	0.1810202465
6	0.1784182168
7	0.1759644958
8	0.1748699678
9	0.1742884314
10	0.1729812979
11	0.1720721971
12	0.1716654314
13	0.1709827031
14	0.1703139194
15	0.1695501433
16	0.1690161613
17	0.168787301
18	0.1684094715
19	0.1675444966
20	0.1671335909
21	0.1663619862
22	0.1661396719
23	0.1655101103
24	0.1653239401
25	0.1646692018
26	0.1643389219
27	0.1637327318
28	0.1629380891
29	0.1627777298
30	0.1622782073
31	0.1614125247
32	0.1609460721
33	0.1604443878
34	0.1604263926
35	0.1596539862
36	0.1592755331
37	0.1585891308
38	0.1585175563
39	0.1584419858
40	0.15824288
41	0.1578372934
42	0.1574111854
43	0.1572090143
44	0.1562779333
45	0.1560152546
46	0.155133962
47	0.1548643832
48	0.1543164158
49	0.1541835744
50	0.1540018075
51	0.1534343418
52	0.1531881271
53	0.1526602784
54	0.1525363696
55	0.1523770433
56	0.1515914621
57	0.1512629415
58	0.1511624838
59	0.1509504878
60	0.1500772596
61	0.1492444977
62	0.1484060779
63	0.1481191434
64	0.1478658252
65	0.1476711298
66	0.1473567835
67	0.147320643
68	0.1470534271
69	0.1468092955
70	0.1465480975
71	0.1463317618
72	0.1462177898
73	0.1458689882
74	0.1456248147
75	0.1450678608
76	0.1445425976
77	0.1443545147
78	0.1442365015
79	0.1440072191
