iter	Logloss
0	0.3050046343
1	0.237092635
2	0.1990234154
3	0.1894888863
4	0.1824146437
5	0.1793822047
6	0.1760470757
7	0.1743949588
8	0.1717229247
9	0.1708622038
10	0.1701016803
11	0.1695871644
12	0.168814595
13	0.1682423037
14	0.1680109866
15	0.1676206781
16	0.1673654056
17	0.1672270742
18	0.1670245722
19	0.1665098464
20	0.1661179944
21	0.1657547632
22	0.1648201932
23	0.1641949901
24	0.1635009467
25	0.1627464555
26	0.1624269226
27	0.1617454296
28	0.1612700734
29	0.1609092283
30	0.16068062
31	0.1604355608
32	0.1604353838
33	0.1601568148
34	0.1596384923
35	0.1593984017
36	0.1585871563
37	0.1584005695
38	0.1579966935
39	0.1575222577
40	0.1571609673
41	0.1571148061
42	0.1571026872
43	0.1570434108
44	0.1566691455
45	0.1561836967
46	0.1552150421
47	0.1546872688
48	0.1543367207
49	0.1542006942
50	0.1541748837
51	0.1537405736
52	0.1535513994
53	0.1529883723
54	0.1527551832
55	0.1522250178
56	0.1520444404
57	0.1510953093
58	0.1508630598
59	0.1505280965
60	0.1501756117
61	0.1497488255
62	0.1496090508
63	0.1490056783
64	0.1484721448
65	0.1483999422
66	0.1482518895
67	0.1479361805
68	0.1479145963
69	0.1474512112
70	0.1470924802
71	0.1466052824
72	0.1462790518
73	0.1459729953
74	0.1458823642
75	0.145789731
76	0.1456472844
77	0.1453748351
78	0.144938538
79	0.1442185394
