iter	Logloss
0	0.3049766686
1	0.2201885844
2	0.1951848531
3	0.1868545735
4	0.1812190021
5	0.1794403442
6	0.175097658
7	0.1741149075
8	0.1728089759
9	0.171840234
10	0.1709562066
11	0.1699220661
12	0.1697719023
13	0.1691869388
14	0.168753573
15	0.167775316
16	0.1674676465
17	0.1671333054
18	0.1669671281
19	0.1657422083
20	0.1653035245
21	0.1646898781
22	0.164563858
23	0.1639097762
24	0.1635237455
25	0.1634303891
26	0.1633483244
27	0.1630832065
28	0.1618954961
29	0.1612284786
30	0.1607110849
31	0.1600667747
32	0.1593806765
33	0.1591973188
34	0.1590417584
35	0.1584786241
36	0.1578995778
37	0.1578966724
38	0.1574556771
39	0.1570279582
40	0.1568355266
41	0.1558781569
42	0.1557967619
43	0.1553810552
44	0.1553808153
45	0.1552053718
46	0.1546813758
47	0.1546347376
48	0.15425996
49	0.1537437723
50	0.1536684978
51	0.1534917648
52	0.1530516861
53	0.1527068026
54	0.1524974333
55	0.1522745892
56	0.1518996016
57	0.1518139417
58	0.1509511734
59	0.1504724265
60	0.149376188
61	0.1491773619
62	0.1486588008
63	0.1484183281
64	0.1483930491
65	0.1479865336
66	0.1478784916
67	0.1472533602
68	0.1472054461
69	0.146832807
70	0.1461668859
71	0.1458825345
72	0.1456106886
73	0.1454690388
74	0.1453451027
75	0.1448301981
76	0.1447585123
77	0.1441891056
78	0.1438193717
79	0.1433848169
