iter	Accuracy_SumError	Accuracy_SumWeight
0	6161	6554
1	6161	6554
2	6161	6554
3	6180	6554
4	6216	6554
5	6218	6554
6	6225	6554
7	6236	6554
8	6232	6554
9	6231	6554
10	6233	6554
11	6238	6554
12	6234	6554
13	6232	6554
14	6232	6554
15	6231	6554
16	6231	6554
17	6230	6554
18	6230	6554
19	6229	6554
20	6237	6554
21	6230	6554
22	6230	6554
23	6239	6554
24	6239	6554
25	6240	6554
26	6240	6554
27	6239	6554
28	6234	6554
29	6234	6554
30	6233	6554
31	6233	6554
32	6238	6554
33	6240	6554
34	6237	6554
35	6233	6554
36	6236	6554
37	6235	6554
38	6240	6554
39	6243	6554
40	6246	6554
41	6243	6554
42	6246	6554
43	6248	6554
44	6247	6554
45	6244	6554
46	6246	6554
47	6245	6554
48	6248	6554
