iter	Logloss
0	0.305062548
1	0.2196466693
2	0.1939828065
3	0.1827332326
4	0.1794823072
5	0.1761412525
6	0.1742479512
7	0.1736041488
8	0.1729459261
9	0.1711684553
10	0.1704758073
11	0.170146696
12	0.16915432
13	0.1685262431
14	0.1680580392
15	0.1676048022
16	0.1672480351
17	0.167203689
18	0.1668828942
19	0.1668826153
20	0.1664832888
21	0.1660089464
22	0.1653319919
23	0.1643720875
24	0.1631945945
25	0.1624295209
26	0.1623767588
27	0.1619897213
28	0.1617224251
29	0.1614496006
30	0.1607353265
31	0.1604020752
32	0.1596104048
33	0.1593224518
34	0.1592022732
35	0.1588827461
36	0.1588254913
37	0.1584952546
38	0.1581970972
39	0.1575616072
40	0.1572588101
41	0.1568197163
42	0.1565993321
43	0.1565025919
44	0.1563668276
45	0.1562896375
46	0.1560988156
47	0.1556948536
48	0.1544068855
49	0.1542414855
50	0.153725424
51	0.1536341053
52	0.1530960146
53	0.1527480949
54	0.1523011031
55	0.1518826901
56	0.1515154095
57	0.1509831151
58	0.1507001734
59	0.1507001302
60	0.1506998095
61	0.1505975511
62	0.1503415817
63	0.1499462708
64	0.1494324152
65	0.1491807487
66	0.1487692683
67	0.147896978
68	0.1477673359
69	0.1477205372
70	0.1474380478
71	0.147215903
72	0.1469332871
73	0.14626481
74	0.1461818309
75	0.1458303726
76	0.1455403282
77	0.1454626084
78	0.145245645
79	0.145031713
