iter	Logloss	Accuracy
0	0.6336451572	0.9426282663
1	0.5801549609	0.9426282663
2	0.5348922835	0.9426282663
3	0.4959777123	0.9426282663
4	0.4615318773	0.9426282663
5	0.4315327638	0.9426282663
6	0.4040483322	0.9426282663
7	0.3814006861	0.9426282663
8	0.3606696333	0.9426282663
9	0.3435292675	0.9426282663
10	0.3273181611	0.9426282663
11	0.3122135982	0.9426282663
12	0.3005426786	0.9426282663
13	0.2897526454	0.9426282663
14	0.2788245556	0.9426282663
15	0.2701394402	0.9426282663
16	0.2600108812	0.9426282663
17	0.251396243	0.9426282663
18	0.2427870434	0.9426282663
19	0.2368498797	0.9426282663
20	0.2300655885	0.9426282663
21	0.2244118019	0.9426282663
22	0.2189884309	0.9426282663
23	0.2142978485	0.9426282663
24	0.2093677912	0.9426282663
25	0.2057766342	0.9426282663
26	0.2025336973	0.9426282663
27	0.1992807822	0.9426282663
28	0.1964951871	0.9426664124
29	0.1938442758	0.9426664124
30	0.1915115215	0.9427045585
31	0.1898029099	0.9427427046
32	0.1880203204	0.9427808507
33	0.1861526028	0.9427427046
34	0.184708831	0.942895289
35	0.1834666019	0.9430097273
36	0.1819076885	0.9432386039
37	0.1805001853	0.943696357
38	0.1793094482	0.9441922563
39	0.1783287787	0.9443066946
40	0.1773917817	0.9447263017
41	0.1764697826	0.9450314705
42	0.1757932958	0.9450696166
43	0.1750421984	0.9453366393
44	0.1743706785	0.9456418081
45	0.1734583077	0.9457943925
46	0.1727065145	0.9460232691
47	0.1718826859	0.9462902918
48	0.1711395508	0.9464428762
49	0.1705254948	0.9462902918
50	0.1700084395	0.9464810223
51	0.1694327151	0.9468243372
52	0.1689096913	0.9469387755
53	0.1684146252	0.9470913599
54	0.1679600399	0.9473583826
55	0.1674401403	0.9476254053
56	0.1668012012	0.9477398436
57	0.1660474651	0.9482357429
58	0.1653957648	0.94865535
59	0.1648742686	0.9488460805
60	0.164398898	0.9493419798
61	0.1640071479	0.9493419798
62	0.1635997011	0.9496471486
63	0.1631554077	0.9498760252
64	0.1628160987	0.949799733
65	0.1623756027	0.9501430479
66	0.1620771131	0.9503337784
67	0.1618226541	0.950181194
68	0.1615440898	0.9502193401
69	0.1612139527	0.9502574862
70	0.1609794796	0.9503719245
71	0.1606227122	0.9504482167
72	0.1604250982	0.9504100706
73	0.1602551553	0.9502956323
74	0.1599067552	0.9504482167
75	0.1597403054	0.9503719245
76	0.1595411626	0.9504863628
77	0.1593500909	0.9506770933
78	0.1592233209	0.9507533855
79	0.158917997	0.9509059699
80	0.1587108344	0.9509059699
81	0.158624058	0.9509822621
82	0.1584966254	0.950944116
83	0.1583458887	0.9509059699
84	0.1582719453	0.9509822621
85	0.1581798625	0.9511348465
86	0.1581602441	0.9511348465
87	0.1580622702	0.9510967004
88	0.1578791602	0.951325577
89	0.1576958134	0.9512111387
90	0.1575890477	0.9511729926
91	0.1574991395	0.9512111387
92	0.1574180047	0.9514018692
93	0.1572227473	0.9514781614
94	0.1570858167	0.9514400153
95	0.156999406	0.9514018692
96	0.156946931	0.9514400153
97	0.1568797744	0.9515163075
98	0.1567932041	0.9515925997
99	0.1567144704	0.9515925997
100	0.1566663047	0.9515925997
101	0.1565529644	0.951707038
102	0.156497566	0.9519359146
103	0.1563881977	0.9518977685
104	0.1562262675	0.9520122068
105	0.1560929446	0.9520503529
106	0.1559216447	0.9522410833
107	0.1557770152	0.9522410833
108	0.1556396183	0.9522410833
109	0.1555444652	0.9522792294
110	0.155511874	0.9522792294
111	0.1554169132	0.9522792294
112	0.1552824424	0.9523173755
113	0.1551303404	0.9523555216
114	0.1550166544	0.9524318138
115	0.1549196285	0.9524699599
116	0.1548019336	0.9525462521
117	0.1547195991	0.9526606904
118	0.1546174585	0.9527751287
119	0.1545325034	0.9527369826
120	0.1544313655	0.9527369826
121	0.1542940743	0.9528132748
122	0.1542085602	0.9529277131
123	0.1541337976	0.9529658592
124	0.1540564979	0.9529658592
125	0.1539439989	0.9529658592
126	0.1539047789	0.9529658592
127	0.1538756021	0.9530421514
128	0.1537911323	0.9530040053
129	0.1537310878	0.9530040053
130	0.1536677845	0.9530802975
131	0.1535777101	0.9529658592
132	0.1535438808	0.9529277131
133	0.1535264895	0.9529277131
134	0.1534734504	0.9529658592
135	0.1534173054	0.9530421514
136	0.1533777241	0.9530421514
137	0.1533123962	0.9530802975
138	0.1532547279	0.9531565897
139	0.1531954149	0.9531565897
140	0.1531535918	0.9531947358
141	0.1529769205	0.9533091741
142	0.1529121108	0.9533854663
143	0.1527861477	0.9534617585
144	0.152690399	0.9534236124
145	0.1525933891	0.9534236124
146	0.1525634033	0.9534236124
147	0.152417331	0.9534999046
148	0.1522420268	0.9534999046
149	0.1522154408	0.9535380507
150	0.1521290889	0.9536143429
151	0.1519975634	0.9535761968
152	0.1519516334	0.9536143429
153	0.1519516225	0.9536143429
154	0.1518583334	0.9536143429
155	0.1518216676	0.953652489
156	0.1516418833	0.953652489
157	0.151533145	0.9537669273
158	0.1512811205	0.9539576578
159	0.1512363678	0.9539958039
160	0.1512080037	0.9540720961
161	0.1511536439	0.9541102422
162	0.151143632	0.9541102422
163	0.1510679538	0.9541483883
164	0.1510219943	0.9541865344
165	0.1509645781	0.9541865344
166	0.1509278007	0.9543009727
167	0.1508683675	0.9543009727
168	0.1507490095	0.9542628266
169	0.1507190475	0.9543391188
170	0.150696885	0.9542628266
171	0.150627257	0.9543009727
172	0.150559477	0.9542628266
173	0.1505266057	0.9543009727
174	0.1504652011	0.9543772649
175	0.1504212506	0.9543391188
176	0.1503535623	0.9542628266
177	0.1502993562	0.9543391188
178	0.1502716143	0.9543772649
179	0.1501826818	0.9543772649
180	0.1500972695	0.954415411
181	0.1500422749	0.9544535571
182	0.1498965976	0.9545679954
183	0.1498090132	0.9546442876
184	0.149726018	0.9546061415
185	0.1496031608	0.9545679954
186	0.1495734216	0.9545679954
187	0.1494345361	0.9546061415
188	0.1493625813	0.9547205798
189	0.1493115213	0.9547205798
190	0.1492865976	0.9547587259
191	0.1492345484	0.9547587259
192	0.1492121742	0.9548350181
193	0.1491730852	0.954796872
194	0.1491245834	0.954796872
195	0.1490787343	0.9547205798
196	0.1490345862	0.9547205798
197	0.1489266463	0.9547205798
198	0.1488687089	0.9547205798
199	0.1488226591	0.9548731642
200	0.1487662569	0.9549494564
201	0.1487256623	0.9549113103
202	0.1486612674	0.9549876025
203	0.1486124278	0.9550638947
204	0.148590972	0.9551020408
205	0.1485255157	0.9551401869
206	0.1484854236	0.9552164791
207	0.1484674304	0.955178333
208	0.1484201711	0.9552546252
209	0.1483463333	0.9553690635
210	0.1483054875	0.9553309174
211	0.1482503791	0.9552927713
212	0.1481215075	0.9554072096
213	0.148085764	0.9554453557
214	0.1480596718	0.9554835018
215	0.1480167668	0.9554453557
216	0.1480034963	0.9554835018
217	0.1479704581	0.9555216479
218	0.1479083665	0.9554835018
219	0.1478336921	0.9555216479
220	0.1477091225	0.9557123784
221	0.1476557436	0.9557123784
222	0.1475974849	0.9556742323
223	0.1474462737	0.9558649628
224	0.1473869153	0.955941255
225	0.1473469142	0.9559031089
226	0.1472697757	0.9560175472
227	0.1472550856	0.9560175472
228	0.1472133596	0.9560556933
229	0.1471820531	0.9559794011
230	0.147144413	0.9560556933
231	0.1470975684	0.9560175472
232	0.1470349487	0.9560556933
233	0.1469956329	0.9560175472
234	0.1468412614	0.9562845699
235	0.146784212	0.9563608621
236	0.1467358163	0.956322716
237	0.1467142578	0.9562845699
238	0.1466854556	0.9562845699
239	0.1465878256	0.9563608621
240	0.1465455659	0.9563990082
241	0.1465190902	0.9564371543
242	0.1464759153	0.9565515926
243	0.1464164632	0.9565515926
244	0.1463794417	0.9565134465
245	0.1462757043	0.956704177
246	0.1462465678	0.9567423231
247	0.1462089962	0.9568186153
248	0.1461870417	0.9567804692
249	0.1461216401	0.9568186153
250	0.1460787561	0.9568567614
251	0.1460682319	0.9568186153
252	0.1460403972	0.9568186153
253	0.1460156981	0.9568186153
254	0.1459720176	0.9568567614
255	0.1459288012	0.9568567614
256	0.1458732836	0.9568567614
257	0.1458461006	0.9568949075
258	0.1458153049	0.957085638
259	0.1457855074	0.957085638
260	0.1456766722	0.9570093458
261	0.1456490708	0.9570093458
262	0.1456307435	0.9570093458
263	0.14557342	0.9571237841
264	0.145537666	0.9572000763
265	0.1455125898	0.9571237841
266	0.1455076875	0.9571237841
267	0.1454404556	0.9571619302
268	0.1454159279	0.9572382224
269	0.1453861629	0.9572763685
270	0.1453227385	0.9572000763
271	0.1452874878	0.9571619302
272	0.1452529852	0.9572382224
273	0.1451754528	0.9572763685
274	0.1451290261	0.9572763685
275	0.1450867925	0.9573526607
