iter	Passed	Remaining
0	6	6471
1	20	10154
2	27	9250
3	35	8822
4	41	8337
5	48	8039
6	60	8581
7	65	8168
8	77	8497
9	83	8308
10	95	8611
11	105	8726
12	113	8614
13	122	8640
14	134	8844
15	148	9137
16	168	9739
17	182	9976
18	198	10271
19	215	10542
20	231	10804
21	246	10941
22	259	11002
23	275	11185
24	290	11326
25	305	11433
26	320	11548
27	333	11571
28	345	11582
29	358	11592
30	370	11574
31	379	11483
32	393	11524
33	410	11673
34	436	12034
35	449	12044
36	479	12489
37	500	12677
38	519	12811
39	537	12889
40	556	13011
41	570	13011
42	582	12962
43	595	12946
44	612	13003
45	627	13010
46	642	13019
47	658	13060
48	679	13194
49	693	13170
50	707	13171
51	723	13188
52	736	13164
53	751	13157
54	764	13133
55	780	13157
56	795	13160
57	813	13211
58	824	13153
59	842	13196
60	856	13189
61	869	13160
62	886	13184
63	900	13167
64	912	13122
65	926	13105
66	943	13144
67	959	13156
68	977	13190
69	999	13274
70	1013	13264
71	1028	13260
72	1044	13265
73	1057	13229
74	1073	13236
75	1088	13237
76	1107	13280
77	1120	13250
78	1135	13235
79	1147	13200
80	1159	13154
81	1177	13181
82	1191	13166
83	1207	13163
84	1234	13284
85	1249	13281
86	1263	13254
87	1279	13258
88	1295	13263
89	1319	13341
90	1337	13357
91	1353	13357
92	1368	13345
93	1384	13342
94	1401	13347
95	1418	13359
96	1436	13371
97	1452	13368
98	1466	13345
99	1478	13309
100	1494	13303
101	1510	13302
102	1526	13297
103	1541	13277
104	1558	13281
105	1575	13286
106	1592	13290
107	1608	13287
108	1628	13313
109	1646	13324
110	1663	13321
111	1677	13296
112	1691	13275
113	1712	13306
114	1749	13465
115	1766	13458
116	1780	13437
117	1794	13415
118	1815	13441
119	1828	13406
120	1840	13368
121	1857	13364
122	1873	13354
123	1888	13343
124	1908	13359
125	1923	13344
126	1940	13340
127	1956	13328
128	1974	13329
129	1987	13301
130	2003	13289
131	2024	13310
132	2041	13306
133	2056	13291
134	2079	13325
135	2097	13325
136	2112	13308
137	2131	13313
138	2143	13278
139	2159	13267
140	2179	13278
141	2192	13246
142	2208	13233
143	2226	13234
144	2244	13233
145	2260	13221
146	2278	13220
147	2290	13187
148	2304	13160
149	2324	13170
150	2339	13154
151	2354	13137
152	2372	13133
153	2378	13066
154	2395	13058
155	2409	13038
156	2427	13031
157	2442	13017
158	2458	13002
159	2472	12982
160	2499	13026
161	2518	13029
162	2531	13000
163	2548	12991
164	2563	12974
165	2579	12959
166	2595	12945
167	2615	12950
168	2634	12952
169	2654	12961
170	2670	12946
171	2687	12935
172	2705	12933
173	2720	12915
174	2735	12895
175	2752	12885
176	2769	12875
177	2795	12911
178	2812	12898
179	2827	12881
180	2843	12865
181	2863	12868
182	2879	12857
183	2895	12841
184	2912	12832
185	2927	12813
186	2945	12805
187	2960	12786
188	2977	12775
189	2994	12767
190	3011	12753
191	3025	12731
192	3042	12720
193	3058	12708
194	3074	12692
195	3092	12684
196	3112	12687
197	3128	12671
198	3143	12651
199	3160	12642
200	3178	12634
201	3194	12619
202	3211	12609
203	3227	12592
204	3243	12576
205	3259	12561
206	3276	12550
207	3293	12539
208	3309	12523
209	3328	12520
210	3345	12509
211	3359	12486
212	3379	12485
213	3397	12479
214	3416	12473
215	3431	12453
216	3448	12443
217	3468	12440
218	3482	12417
219	3496	12398
220	3511	12378
221	3528	12364
222	3547	12359
223	3565	12350
224	3581	12336
225	3597	12319
226	3612	12300
227	3636	12312
228	3655	12308
229	3675	12304
230	3693	12296
231	3709	12279
232	3726	12266
233	3741	12246
234	3760	12240
235	3779	12234
236	3794	12215
237	3811	12202
238	3825	12179
239	3845	12178
240	3865	12174
241	3883	12164
242	3900	12149
243	3915	12130
244	3931	12115
245	3946	12097
246	3961	12076
247	3978	12064
248	3993	12045
249	4010	12030
250	4026	12016
251	4042	12000
252	4059	11985
253	4075	11968
254	4092	11956
255	4104	11928
256	4128	11936
257	4143	11917
258	4171	11935
259	4187	11917
260	4201	11896
261	4216	11875
262	4231	11856
263	4248	11844
264	4262	11822
265	4277	11802
266	4293	11786
267	4311	11775
268	4325	11755
269	4341	11737
270	4358	11725
271	4378	11720
272	4395	11703
273	4413	11695
274	4430	11681
275	4446	11664
276	4462	11646
277	4475	11623
278	4493	11613
279	4510	11597
280	4524	11575
281	4536	11550
282	4553	11536
283	4572	11527
284	4589	11514
285	4605	11496
286	4619	11477
287	4636	11461
288	4653	11449
289	4665	11421
290	4682	11409
291	4697	11390
292	4713	11373
293	4730	11358
294	4743	11335
295	4759	11320
296	4777	11307
297	4791	11286
298	4807	11270
299	4824	11257
300	4839	11239
301	4855	11222
302	4868	11199
303	4884	11183
304	4901	11168
305	4916	11151
306	4933	11137
307	4950	11122
308	4965	11104
309	4982	11089
310	4998	11073
311	5017	11063
312	5032	11044
313	5050	11034
314	5069	11024
315	5086	11010
316	5102	10994
317	5119	10979
318	5132	10957
319	5148	10939
320	5165	10925
321	5179	10906
322	5198	10895
323	5213	10877
324	5229	10860
325	5243	10839
326	5259	10824
327	5275	10807
328	5305	10821
329	5320	10802
330	5337	10787
331	5354	10773
332	5371	10758
333	5392	10752
334	5407	10734
335	5423	10717
336	5439	10700
337	5452	10679
338	5468	10663
339	5487	10652
340	5503	10635
341	5521	10622
342	5539	10609
343	5553	10590
