iter	Accuracy_SumError	Accuracy_SumWeight
231	6271	6554
232	6271	6554
233	6269	6554
234	6268	6554
235	6270	6554
236	6269	6554
237	6269	6554
238	6270	6554
239	6268	6554
240	6268	6554
241	6267	6554
242	6267	6554
243	6268	6554
244	6265	6554
245	6265	6554
246	6265	6554
247	6266	6554
248	6266	6554
249	6266	6554
250	6266	6554
251	6266	6554
252	6265	6554
253	6265	6554
254	6263	6554
255	6263	6554
256	6263	6554
257	6263	6554
258	6263	6554
259	6263	6554
260	6263	6554
261	6263	6554
262	6263	6554
263	6264	6554
264	6264	6554
265	6263	6554
266	6263	6554
267	6262	6554
268	6262	6554
269	6262	6554
270	6261	6554
271	6260	6554
272	6262	6554
273	6261	6554
274	6261	6554
275	6261	6554
276	6261	6554
277	6262	6554
278	6262	6554
279	6262	6554
280	6261	6554
281	6261	6554
282	6262	6554
283	6261	6554
284	6262	6554
285	6262	6554
286	6262	6554
287	6262	6554
288	6263	6554
289	6262	6554
290	6263	6554
291	6263	6554
292	6262	6554
293	6262	6554
294	6264	6554
295	6263	6554
296	6263	6554
297	6264	6554
298	6264	6554
299	6265	6554
300	6265	6554
301	6264	6554
302	6264	6554
303	6263	6554
304	6263	6554
305	6264	6554
306	6262	6554
307	6262	6554
308	6262	6554
309	6262	6554
310	6262	6554
311	6262	6554
312	6262	6554
313	6263	6554
314	6264	6554
315	6264	6554
316	6264	6554
317	6263	6554
318	6262	6554
319	6262	6554
320	6263	6554
321	6263	6554
322	6263	6554
323	6264	6554
324	6264	6554
325	6264	6554
326	6264	6554
327	6264	6554
328	6264	6554
329	6263	6554
330	6261	6554
331	6262	6554
332	6262	6554
333	6261	6554
334	6260	6554
335	6263	6554
336	6264	6554
337	6264	6554
338	6261	6554
339	6261	6554
340	6262	6554
341	6262	6554
342	6262	6554
343	6262	6554
344	6262	6554
345	6261	6554
346	6262	6554
347	6262	6554
348	6262	6554
349	6262	6554
350	6262	6554
351	6262	6554
352	6264	6554
353	6263	6554
354	6262	6554
355	6262	6554
356	6263	6554
357	6263	6554
358	6263	6554
359	6263	6554
360	6263	6554
361	6263	6554
362	6262	6554
363	6262	6554
364	6263	6554
365	6263	6554
366	6263	6554
367	6263	6554
368	6263	6554
369	6262	6554
370	6264	6554
371	6264	6554
372	6264	6554
373	6263	6554
374	6264	6554
375	6265	6554
376	6265	6554
377	6265	6554
378	6264	6554
379	6264	6554
380	6267	6554
381	6267	6554
382	6266	6554
383	6267	6554
384	6266	6554
385	6265	6554
386	6265	6554
387	6266	6554
388	6266	6554
389	6265	6554
390	6266	6554
391	6266	6554
392	6266	6554
393	6265	6554
394	6265	6554
395	6265	6554
396	6265	6554
397	6266	6554
398	6264	6554
399	6264	6554
400	6264	6554
401	6264	6554
402	6263	6554
403	6264	6554
404	6265	6554
405	6266	6554
406	6266	6554
407	6266	6554
408	6265	6554
409	6266	6554
410	6266	6554
411	6264	6554
412	6264	6554
413	6264	6554
414	6264	6554
415	6264	6554
416	6264	6554
417	6265	6554
418	6267	6554
419	6266	6554
420	6267	6554
421	6267	6554
422	6269	6554
423	6269	6554
424	6269	6554
425	6271	6554
426	6272	6554
427	6270	6554
428	6271	6554
429	6271	6554
430	6271	6554
431	6272	6554
432	6271	6554
433	6271	6554
434	6271	6554
435	6271	6554
436	6270	6554
437	6271	6554
438	6271	6554
439	6271	6554
440	6270	6554
441	6269	6554
442	6269	6554
443	6269	6554
444	6270	6554
445	6270	6554
446	6270	6554
447	6270	6554
448	6270	6554
449	6270	6554
450	6270	6554
451	6271	6554
452	6270	6554
453	6269	6554
454	6270	6554
455	6270	6554
456	6269	6554
457	6269	6554
458	6269	6554
459	6270	6554
460	6270	6554
461	6270	6554
462	6270	6554
463	6269	6554
464	6271	6554
465	6271	6554
466	6270	6554
467	6270	6554
468	6270	6554
469	6270	6554
470	6270	6554
471	6270	6554
472	6270	6554
473	6270	6554
474	6270	6554
475	6270	6554
476	6270	6554
477	6270	6554
478	6270	6554
479	6270	6554
480	6270	6554
481	6270	6554
482	6270	6554
483	6271	6554
484	6271	6554
485	6270	6554
486	6270	6554
487	6271	6554
488	6271	6554
489	6271	6554
490	6270	6554
491	6270	6554
492	6270	6554
493	6269	6554
494	6268	6554
495	6268	6554
496	6269	6554
497	6269	6554
498	6269	6554
499	6269	6554
500	6269	6554
501	6270	6554
502	6270	6554
503	6270	6554
504	6269	6554
505	6269	6554
506	6269	6554
507	6270	6554
508	6270	6554
